case_name	vin_mps	beta	CoR_abs	peak_flow_stress_GPa	peak_flow_stress_frame	peak_contact_force_N	peak_contact_force_frame	n_frames
v_100_a_1e-5_b_0.5	100	0.5	0.1198265	0.325768039	1	0.136990583	10	41
v_100_a_1e-5_b_0.9	100	0.9	0.1577559	0.34252159	2	0.130237823	12	41
v_200_a_1e-5_b_0.1	200	0.1	0.0610412	0.440375385	1	0.38155156	8	41
v_200_a_1e-5_b_0.5	200	0.5	0.09613776	0.364920597	10	0.239603347	10	41
v_200_a_1e-5_b_0.9	200	0.9	0.1175008	0.425462444	1	0.238414506	11	41
v_300_a_1e-5_b_0.1	300	0.1	0.06063019	0.480880345	1	0.402567308	10	41
v_300_a_1e-5_b_0.5	300	0.5	0.07979443	0.451910295	1	0.3271106	9	41
v_300_a_1e-5_b_0.9	300	0.9	0.09254126	0.419761498	12	0.317038896	9	41
v_400_a_1e-5_b_0.1	400	0.1	0.05468786	0.50539908	1	0.468881989	6	41
v_400_a_1e-5_b_0.5	400	0.5	0.06326484	0.518383777	12	0.395864504	6	41
v_500_a_1e-5_b_0.1	500	0.1	0.04410997	0.635832415	13	0.694258516	4	41
v_500_a_1e-5_b_0.5	500	0.5	0.04356561	0.660624897	1	0.556005514	7	41
v_500_a_1e-5_b_0.9	500	0.9	0.04959452	0.649964976	13	0.45076161	7	41
v_550_a_1e-5_b_0.1	550	0.1	0.04145865	0.697641527	13	0.663375819	3	41
v_550_a_1e-5_b_0.5	550	0.5	0.03930358	0.706613078	13	0.493313152	4	41
v_550_a_1e-5_b_0.9	550	0.9	0.0424342	0.702724383	13	0.509955418	5	41
v_600_a_1e-5_b_0.1	600	0.1	0.03815134	0.755278963	13	0.787208017	3	41
v_600_a_1e-5_b_0.5	600	0.5	nan	0.765368633	13	0.541682359	5	41
v_600_a_1e-5_b_0.9	600	0.9	0.03570927	0.755816705	14	0.531632678	7	41
v_650_a_1e-5_b_0.5	650	0.5	nan	0.812757387	13	0.585903882	6	41
v_650_a_1e-5_b_0.9	650	0.9	0.03552552	0.810419665	14	0.586150846	6	41
