alpha,beta,cor100,cor600,loss
1.000e-06,0.997,-0.1584955,nan,1.00000e+00
1.000e-06,0.939,-0.1542628,-0.03634564,1.32101e-03
1.000e-06,0.215,-0.1253348,nan,1.00000e+00
1.000e-06,0.312,-0.1293672,nan,1.00000e+00
1.000e-06,0.457,-0.1333463,-0.03692642,1.40783e-03
1.000e-06,0.449,-0.1335466,-0.03689499,1.40289e-03
1.000e-06,0.703,-0.1398796,-0.03646341,1.32959e-03
1.000e-06,0.912,-0.1516701,-0.03653457,1.33477e-03
1.000e-06,0.742,-0.1418562,-0.0364867,1.33128e-03
1.000e-06,0.799,-0.1448301,-0.03650286,1.33246e-03
1.000e-06,0.645,-0.1380094,-0.03644729,1.33237e-03
1.000e-06,0.577,-0.1356394,-0.03679939,1.37321e-03
1.000e-06,0.523,-0.1353036,-0.0369437,1.38689e-03
1.000e-06,0.843,-0.1477871,-0.03622973,1.31259e-03
